price,year,odometer,manufacturer,condition,cylinders,fuel,title_status,transmission,drive,type,paint_color
13000,2012.0,130000.0,nissan,good,6 cylinders,gas,lien,manual,4wd,truck,black
40590,2016.0,11871.0,dodge,good,6 cylinders,other,clean,other,rwd,coupe,black
40990,2019.0,12046.0,acura,good,6 cylinders,gas,clean,other,fwd,other,red
16999,2011.0,136218.0,gmc,good,8 cylinders,gas,clean,automatic,4wd,truck,green
6600,2014.0,158533.0,volkswagen,good,4 cylinders,gas,clean,automatic,4wd,SUV,grey
12498,2011.0,16188.0,infiniti,good,6 cylinders,gas,clean,automatic,4wd,sedan,black
28500,2015.0,49319.0,chrysler,good,6 cylinders,gas,clean,automatic,fwd,sedan,unknown
4999,2005.0,158000.0,dodge,excellent,8 cylinders,gas,clean,automatic,rwd,sedan,red
10777,2012.0,62048.0,chevrolet,good,8 cylinders,gas,clean,automatic,fwd,pickup,black
20590,2018.0,23929.0,volkswagen,good,4 cylinders,gas,clean,other,fwd,other,red
5995,2006.0,194821.0,honda,excellent,4 cylinders,gas,clean,automatic,fwd,sedan,unknown
21311,2021.0,4438.0,chevrolet,good,8 cylinders,gas,clean,automatic,4wd,pickup,unknown
11495,2012.0,151157.0,acura,excellent,6 cylinders,gas,clean,automatic,4wd,SUV,silver
17900,2010.0,78000.0,ford,excellent,8 cylinders,gas,clean,automatic,4wd,pickup,grey
13000,2017.0,19900.0,kia,excellent,4 cylinders,gas,rebuilt,automatic,fwd,sedan,blue
7995,2004.0,176393.0,ford,good,8 cylinders,gas,clean,automatic,rwd,van,white
38590,2019.0,77492.0,ford,good,8 cylinders,other,clean,other,4wd,pickup,unknown
13490,2015.0,53013.0,hyundai,good,4 cylinders,other,clean,automatic,fwd,other,red
6990,2007.0,101047.0,jeep,excellent,6 cylinders,gas,clean,automatic,4wd,SUV,black
14000,2011.0,74052.0,mercedes-benz,good,6 cylinders,hybrid,clean,automatic,rwd,sedan,unknown
5495,2007.0,160000.0,honda,good,6 cylinders,gas,clean,automatic,fwd,sedan,grey
23154,2014.0,84056.0,gmc,good,6 cylinders,gas,clean,other,4wd,other,red
24995,2017.0,65676.0,jeep,good,6 cylinders,gas,clean,automatic,rwd,SUV,black
18990,2016.0,22686.0,buick,good,6 cylinders,gas,clean,other,fwd,sedan,unknown
4000,2011.0,150000.0,jeep,fair,6 cylinders,gas,clean,automatic,4wd,SUV,black
3500,2008.0,230000.0,mercedes-benz,good,6 cylinders,diesel,clean,automatic,rwd,sedan,silver
4500,2003.0,69000.0,ford,good,4 cylinders,gas,clean,automatic,rwd,pickup,red
12300,2013.0,138078.0,toyota,excellent,4 cylinders,gas,clean,automatic,fwd,SUV,red
8995,2001.0,200614.0,chevrolet,good,8 cylinders,gas,clean,automatic,4wd,pickup,purple
35990,2018.0,24135.0,mercedes-benz,good,6 cylinders,gas,clean,other,rwd,sedan,black
46990,2019.0,14900.0,bmw,good,6 cylinders,other,clean,other,rwd,sedan,white
11999,2011.0,113600.0,infiniti,excellent,6 cylinders,gas,clean,manual,rwd,coupe,red
13900,2012.0,91552.0,lexus,like new,6 cylinders,gas,clean,automatic,fwd,sedan,black
48495,2020.0,26574.0,bmw,excellent,6 cylinders,gas,clean,automatic,rwd,sedan,unknown
6495,2007.0,139272.0,toyota,good,4 cylinders,gas,clean,automatic,fwd,sedan,grey
10988,2013.0,107089.0,jeep,good,6 cylinders,gas,clean,automatic,4wd,SUV,unknown
17590,2013.0,99472.0,mercedes-benz,good,6 cylinders,other,clean,automatic,rwd,SUV,black
2200,1998.0,119000.0,chevrolet,fair,6 cylinders,gas,clean,automatic,fwd,van,brown
27999,2018.0,37716.0,chrysler,good,6 cylinders,gas,clean,automatic,fwd,mini-van,white
19990,2021.0,600.0,toyota,new,4 cylinders,gas,clean,automatic,fwd,sedan,blue
39990,2020.0,6932.0,toyota,good,8 cylinders,gas,clean,other,fwd,pickup,white
33999,2019.0,50100.0,dodge,good,6 cylinders,gas,clean,automatic,4wd,sedan,unknown
55988,2016.0,139617.0,gmc,good,8 cylinders,diesel,clean,automatic,4wd,pickup,black
17500,2012.0,141000.0,cadillac,good,8 cylinders,gas,clean,automatic,4wd,SUV,black
1600,1983.0,68000.0,toyota,fair,4 cylinders,gas,clean,automatic,fwd,sedan,unknown
8500,2004.0,148063.0,lexus,good,6 cylinders,gas,clean,automatic,4wd,SUV,unknown
6880,2005.0,201583.0,toyota,good,4 cylinders,gas,clean,automatic,fwd,SUV,white
4000,1995.0,165454.0,cadillac,good,8 cylinders,gas,rebuilt,automatic,fwd,sedan,unknown
10999,2012.0,92832.0,outro,good,4 cylinders,gas,clean,manual,fwd,convertible,brown
8995,2009.0,147607.0,ford,good,8 cylinders,gas,clean,automatic,4wd,SUV,unknown
15590,2011.0,100409.0,nissan,good,4 cylinders,other,clean,other,fwd,other,red
46999,2020.0,11257.0,jeep,good,6 cylinders,gas,clean,automatic,4wd,SUV,black
36999,2014.0,198339.0,ram,good,6 cylinders,diesel,clean,automatic,4wd,truck,unknown
11500,2010.0,126000.0,ford,good,8 cylinders,gas,salvage,automatic,4wd,pickup,red
12990,2017.0,64315.0,ford,good,8 cylinders,hybrid,clean,automatic,4wd,hatchback,unknown
6295,2008.0,176647.0,outro,good,5 cylinders,gas,clean,automatic,fwd,sedan,unknown
2100,2005.0,133000.0,chevrolet,good,8 cylinders,gas,clean,automatic,4wd,pickup,unknown
7700,2011.0,125000.0,nissan,good,4 cylinders,gas,clean,automatic,fwd,sedan,white
28990,2019.0,1395.0,nissan,good,6 cylinders,other,clean,other,fwd,pickup,unknown
29999,2016.0,40717.0,ford,excellent,6 cylinders,gas,clean,automatic,rwd,mini-van,white
4495,2008.0,173883.0,ford,good,4 cylinders,gas,clean,automatic,fwd,sedan,custom
15899,2017.0,136621.0,hyundai,good,4 cylinders,gas,clean,automatic,4wd,wagon,silver
9257,2012.0,123077.0,toyota,good,4 cylinders,gas,clean,automatic,fwd,sedan,unknown
14995,2019.0,30633.0,kia,excellent,4 cylinders,gas,clean,automatic,fwd,sedan,silver
6995,2005.0,188208.0,nissan,good,4 cylinders,gas,clean,automatic,4wd,truck,white
3150,2010.0,137677.0,ford,good,8 cylinders,gas,clean,automatic,4wd,sedan,white
16500,2008.0,112000.0,outro,excellent,8 cylinders,gas,clean,automatic,4wd,SUV,custom
9595,2012.0,109195.0,honda,good,4 cylinders,gas,clean,automatic,fwd,sedan,white
500,2012.0,175000.0,mazda,good,4 cylinders,gas,clean,automatic,fwd,sedan,red
24500,2018.0,36905.0,ford,good,8 cylinders,gas,clean,automatic,4wd,coupe,black
15750,2015.0,80100.0,ram,excellent,8 cylinders,gas,clean,automatic,4wd,pickup,brown
33995,2010.0,22500.0,dodge,excellent,8 cylinders,gas,clean,other,rwd,sedan,black
6999,2012.0,91000.0,dodge,excellent,6 cylinders,gas,clean,automatic,rwd,van,unknown
5495,2005.0,139857.0,mercedes-benz,good,6 cylinders,gas,clean,automatic,rwd,other,unknown
27590,2013.0,43937.0,toyota,good,4 cylinders,other,clean,other,4wd,pickup,white
41998,2019.0,27331.0,ram,good,8 cylinders,gas,clean,automatic,4wd,truck,unknown
14700,2001.0,190000.0,dodge,good,6 cylinders,diesel,clean,automatic,rwd,sedan,unknown
19590,2017.0,24248.0,volkswagen,good,4 cylinders,gas,clean,other,fwd,sedan,unknown
34990,2018.0,19816.0,jeep,good,6 cylinders,gas,clean,other,4wd,other,unknown
3300,1999.0,169000.0,honda,good,4 cylinders,gas,clean,automatic,fwd,sedan,unknown
36990,2016.0,23190.0,gmc,good,8 cylinders,gas,clean,other,4wd,pickup,black
11995,2017.0,67482.0,dodge,good,6 cylinders,gas,rebuilt,automatic,rwd,sedan,unknown
25990,2017.0,23279.0,outro,good,6 cylinders,other,clean,other,rwd,sedan,white
1000,1994.0,150000.0,ford,good,8 cylinders,gas,parts only,automatic,rwd,pickup,unknown
7999,2010.0,210000.0,honda,excellent,4 cylinders,gas,clean,automatic,4wd,sedan,silver
38000,2017.0,62741.0,toyota,good,8 cylinders,gas,clean,automatic,4wd,SUV,grey
6500,2008.0,115100.0,volkswagen,good,4 cylinders,gas,clean,automatic,fwd,sedan,unknown
7950,2006.0,179000.0,subaru,like new,6 cylinders,gas,clean,automatic,4wd,wagon,black
38990,2010.0,93244.0,ram,good,8 cylinders,diesel,clean,automatic,4wd,pickup,unknown
15301,2013.0,32359.0,bmw,good,4 cylinders,gas,clean,automatic,rwd,sedan,white
8500,2010.0,105000.0,toyota,good,6 cylinders,gas,clean,automatic,fwd,sedan,grey
22500,2021.0,10.0,outro,new,4 cylinders,gas,clean,automatic,4wd,SUV,black
13950,2011.0,58800.0,volkswagen,good,4 cylinders,diesel,clean,manual,fwd,hatchback,unknown
3500,2006.0,202000.0,honda,excellent,6 cylinders,gas,clean,automatic,fwd,mini-van,red
26734,2017.0,21291.0,outro,excellent,4 cylinders,diesel,clean,automatic,4wd,sedan,grey
33990,2014.0,136250.0,ford,good,8 cylinders,diesel,clean,automatic,4wd,truck,white
41990,2012.0,9169.0,chevrolet,good,8 cylinders,other,clean,automatic,rwd,coupe,red
21250,2002.0,15962.0,ford,like new,8 cylinders,gas,clean,automatic,fwd,convertible,yellow
9500,2009.0,67100.0,nissan,excellent,6 cylinders,gas,clean,automatic,4wd,SUV,grey
12995,2017.0,88175.0,kia,good,4 cylinders,gas,clean,automatic,fwd,sedan,blue
26590,2017.0,47267.0,nissan,good,8 cylinders,gas,clean,other,4wd,pickup,white
5495,2014.0,136169.0,chevrolet,good,8 cylinders,gas,clean,automatic,4wd,pickup,unknown
24997,2018.0,36002.0,gmc,good,4 cylinders,gas,clean,automatic,4wd,SUV,custom
47447,2013.0,99000.0,ford,excellent,8 cylinders,diesel,clean,automatic,4wd,truck,black
5991,2011.0,122528.0,outro,good,4 cylinders,gas,clean,manual,fwd,wagon,unknown
3995,2007.0,149913.0,outro,good,4 cylinders,gas,clean,automatic,fwd,sedan,unknown
20650,2014.0,94000.0,chevrolet,good,8 cylinders,gas,clean,automatic,4wd,pickup,unknown
39750,2013.0,62823.0,jeep,excellent,6 cylinders,gas,clean,automatic,4wd,SUV,red
7950,2008.0,126149.0,chevrolet,good,8 cylinders,gas,clean,automatic,rwd,van,white
15700,2011.0,84500.0,audi,excellent,4 cylinders,gas,clean,automatic,4wd,sedan,grey
42291,2015.0,37688.0,outro,good,6 cylinders,gas,clean,other,4wd,SUV,unknown
7880,2005.0,109100.0,subaru,excellent,4 cylinders,gas,clean,automatic,4wd,wagon,silver
35900,2018.0,18097.0,ford,excellent,6 cylinders,gas,clean,automatic,4wd,SUV,white
19950,2005.0,70700.0,ford,good,8 cylinders,diesel,clean,automatic,4wd,truck,white
5900,2010.0,145773.0,ford,good,8 cylinders,gas,clean,automatic,4wd,pickup,unknown
5600,2008.0,160000.0,toyota,excellent,4 cylinders,gas,clean,manual,fwd,sedan,unknown
10995,2000.0,196012.0,gmc,excellent,8 cylinders,gas,clean,automatic,4wd,pickup,white
19999,2019.0,9400.0,jeep,good,4 cylinders,gas,clean,automatic,4wd,SUV,orange
32590,2009.0,20420.0,chevrolet,good,8 cylinders,gas,clean,other,rwd,coupe,silver
13990,2011.0,93883.0,volkswagen,good,4 cylinders,diesel,clean,automatic,fwd,wagon,unknown
8250,2012.0,143367.0,toyota,excellent,4 cylinders,hybrid,clean,automatic,fwd,sedan,unknown
12998,2007.0,117000.0,mercedes-benz,good,6 cylinders,gas,rebuilt,automatic,rwd,sedan,unknown
17999,2013.0,87004.0,gmc,good,6 cylinders,gas,clean,automatic,4wd,SUV,custom
7589,2011.0,97671.0,chevrolet,good,4 cylinders,gas,clean,automatic,fwd,wagon,silver
15999,2014.0,137576.0,acura,excellent,6 cylinders,gas,clean,automatic,fwd,SUV,brown
8995,2012.0,39933.0,honda,good,4 cylinders,gas,clean,automatic,fwd,sedan,white
26950,2016.0,252712.0,ram,excellent,6 cylinders,diesel,clean,manual,4wd,pickup,white
5200,2010.0,128000.0,honda,fair,4 cylinders,gas,clean,manual,fwd,coupe,silver
22590,2014.0,63367.0,mercedes-benz,good,6 cylinders,gas,clean,automatic,rwd,coupe,unknown
5900,2004.0,169000.0,dodge,good,8 cylinders,gas,clean,automatic,4wd,sedan,unknown
18999,2016.0,82000.0,dodge,like new,6 cylinders,gas,clean,automatic,rwd,sedan,unknown
9900,2013.0,113000.0,ford,excellent,8 cylinders,gas,clean,automatic,4wd,mini-van,white
18000,2014.0,111913.0,ford,excellent,8 cylinders,gas,clean,manual,rwd,coupe,black
1,2013.0,79856.0,mercedes-benz,excellent,8 cylinders,gas,clean,other,4wd,wagon,white
13995,2013.0,95155.0,volkswagen,good,4 cylinders,gas,clean,manual,fwd,hatchback,grey
16900,2014.0,137000.0,ford,good,8 cylinders,gas,clean,automatic,4wd,pickup,black
2995,2002.0,145000.0,acura,good,6 cylinders,gas,clean,automatic,fwd,sedan,unknown
6500,2010.0,95000.0,toyota,excellent,4 cylinders,gas,clean,automatic,fwd,other,grey
54995,2016.0,71159.0,chevrolet,good,8 cylinders,diesel,clean,automatic,4wd,pickup,black
10300,2015.0,95000.0,kia,good,4 cylinders,gas,lien,automatic,fwd,sedan,black
23998,2019.0,24635.0,ford,good,6 cylinders,gas,clean,automatic,rwd,truck,silver
25000,2001.0,200000.0,ram,excellent,6 cylinders,diesel,clean,automatic,4wd,truck,grey
12995,2014.0,53000.0,kia,excellent,4 cylinders,gas,clean,automatic,fwd,sedan,unknown
5495,2008.0,176938.0,dodge,good,6 cylinders,gas,clean,automatic,4wd,SUV,white
41500,2016.0,138400.0,gmc,good,8 cylinders,gas,clean,automatic,4wd,pickup,white
32990,2013.0,62588.0,outro,good,other,electric,clean,other,rwd,sedan,white
1200,2016.0,42322.0,ford,excellent,8 cylinders,gas,clean,automatic,4wd,pickup,unknown
13470,2012.0,82759.0,bmw,excellent,4 cylinders,gas,clean,automatic,rwd,sedan,unknown
13888,2015.0,140133.0,honda,like new,4 cylinders,gas,clean,automatic,fwd,sedan,black
9999,2010.0,79000.0,chevrolet,good,8 cylinders,gas,clean,automatic,4wd,pickup,unknown
6700,2008.0,187687.0,acura,good,6 cylinders,gas,clean,automatic,4wd,SUV,silver
6992,2009.0,131212.0,infiniti,excellent,6 cylinders,gas,clean,automatic,rwd,sedan,grey
6000,2007.0,158843.0,honda,good,4 cylinders,gas,clean,automatic,fwd,sedan,blue
5000,2011.0,132224.0,jeep,good,4 cylinders,gas,clean,automatic,fwd,SUV,silver
13900,2007.0,174895.0,chevrolet,good,8 cylinders,gas,clean,automatic,4wd,pickup,unknown
34888,2015.0,127976.0,chevrolet,good,8 cylinders,gas,clean,automatic,4wd,pickup,silver
19000,2017.0,63560.0,honda,good,4 cylinders,gas,clean,automatic,fwd,sedan,unknown
16590,2015.0,39649.0,volkswagen,good,4 cylinders,gas,clean,other,fwd,hatchback,black
14999,2016.0,89830.0,hyundai,good,4 cylinders,gas,clean,automatic,fwd,SUV,grey
7999,2012.0,150340.0,nissan,good,4 cylinders,gas,clean,automatic,fwd,sedan,unknown
34995,2018.0,40412.0,chevrolet,good,6 cylinders,gas,rebuilt,automatic,4wd,truck,black
27988,2016.0,65521.0,ford,good,8 cylinders,gas,clean,automatic,4wd,pickup,unknown
39995,2019.0,8308.0,gmc,good,8 cylinders,gas,clean,automatic,4wd,pickup,white
13995,2010.0,142854.0,gmc,excellent,8 cylinders,gas,clean,automatic,4wd,pickup,red
6995,2012.0,99000.0,chrysler,excellent,4 cylinders,gas,clean,automatic,fwd,sedan,red
3795,2004.0,128508.0,infiniti,excellent,6 cylinders,gas,clean,automatic,fwd,sedan,black
6500,2008.0,135000.0,bmw,excellent,6 cylinders,gas,clean,automatic,rwd,sedan,unknown
19990,2017.0,34104.0,ford,good,8 cylinders,gas,clean,automatic,fwd,other,black
7499,2003.0,68375.0,mercedes-benz,excellent,8 cylinders,gas,clean,automatic,rwd,convertible,silver
25981,2018.0,42148.0,infiniti,good,6 cylinders,gas,clean,automatic,4wd,sedan,unknown
22600,2012.0,98549.0,ford,excellent,6 cylinders,gas,clean,automatic,4wd,pickup,silver
4991,2005.0,237193.0,chrysler,good,6 cylinders,gas,clean,automatic,fwd,SUV,unknown
13600,2012.0,96950.0,nissan,good,4 cylinders,gas,rebuilt,automatic,4wd,pickup,unknown
7700,2009.0,139000.0,cadillac,like new,8 cylinders,gas,clean,automatic,4wd,sedan,white
14999,2018.0,84868.0,chevrolet,good,4 cylinders,gas,clean,automatic,fwd,sedan,grey
17477,2013.0,143000.0,ford,good,8 cylinders,gas,clean,automatic,4wd,pickup,silver
17495,2015.0,84185.0,chevrolet,good,8 cylinders,gas,clean,automatic,4wd,other,silver
19900,2021.0,351.0,hyundai,good,4 cylinders,gas,clean,automatic,fwd,SUV,white
5900,1982.0,112000.0,outro,fair,8 cylinders,gas,clean,automatic,fwd,sedan,unknown
17900,2017.0,29000.0,chevrolet,like new,4 cylinders,gas,clean,automatic,rwd,sedan,black
9995,2010.0,80156.0,toyota,excellent,4 cylinders,gas,clean,automatic,fwd,sedan,silver
10990,2012.0,117839.0,honda,good,4 cylinders,gas,clean,automatic,fwd,sedan,unknown
44995,2016.0,141840.0,ford,good,8 cylinders,diesel,clean,automatic,4wd,pickup,black
26995,2017.0,67595.0,ram,good,8 cylinders,other,clean,automatic,4wd,pickup,white
14450,2016.0,118276.0,volkswagen,good,4 cylinders,gas,clean,automatic,4wd,SUV,unknown
18990,2018.0,13227.0,hyundai,good,4 cylinders,gas,clean,other,fwd,sedan,silver
19899,2014.0,85400.0,jeep,excellent,6 cylinders,gas,clean,automatic,4wd,SUV,unknown
24581,2019.0,30139.0,honda,good,4 cylinders,gas,clean,automatic,fwd,sedan,white
16995,2014.0,90983.0,bmw,excellent,4 cylinders,gas,clean,automatic,4wd,SUV,white
8800,2014.0,52000.0,chevrolet,excellent,4 cylinders,gas,clean,automatic,fwd,hatchback,white
37895,2018.0,25741.0,chevrolet,good,6 cylinders,gas,clean,automatic,4wd,SUV,black
15000,2002.0,90000.0,chevrolet,good,8 cylinders,gas,clean,automatic,4wd,convertible,unknown
22243,2015.0,136632.0,gmc,like new,6 cylinders,gas,clean,automatic,4wd,truck,black
16880,2012.0,119000.0,nissan,good,8 cylinders,gas,clean,automatic,4wd,truck,red
12995,2012.0,87306.0,mercedes-benz,good,4 cylinders,gas,clean,automatic,rwd,sedan,grey
5200,2010.0,104238.0,dodge,like new,6 cylinders,gas,clean,automatic,4wd,sedan,black
359,2018.0,22824.0,dodge,good,6 cylinders,gas,clean,automatic,rwd,coupe,black
10995,2009.0,101946.0,subaru,good,4 cylinders,gas,clean,automatic,4wd,wagon,grey
16000,1997.0,241650.0,lexus,good,6 cylinders,gas,clean,automatic,4wd,SUV,green
